title,album_id,positive,negative,neutral
смельчак и ветер,0,0.16886694729328156,0.1824355274438858,0.15611489117145538
проказник скоморох,0,0.1520422399044037,0.23371636867523193,0.12253321707248688
верная жена,0,0.1097157895565033,0.3007555902004242,0.14805719256401062
садовник,0,0.13661839067935944,0.14805719256401062,0.20690405368804932
блуждают тени,0,0.14805719256401062,0.22271016240119934,0.38492217659950256
внезапная голова,0,0.21734751760959625,0.26285186409950256,0.04604391008615494
шар голубой,0,0.3140605390071869,0.23935934901237488,0.09010298550128937
злодей и шапка,0,0.20182321965694427,0.22816647589206696,0.24509501457214355
от женщин кругом голова,0,0.21734751760959625,0.18714269995689392,0.1097157895565033
рыбак,0,0.08510905504226685,0.23935934901237488,0.33459946513175964
мотоцикл,0,0.1732981950044632,0.320831298828125,0.15611489117145538
холодное тело,0,0.14034625887870789,0.2814156115055084,0.11280541121959686
дурак и молния,0,0.1520422399044037,0.21734751760959625,0.22271016240119934
леший обиделся,0,0.0695517510175705,0.46102678775787354,0.07808816432952881
два вора и монета,0,0.22816647589206696,0.21734751760959625,0.06372499465942383
любовь и пропеллер,0,0.21734751760959625,0.320831298828125,0.07808816432952881
камнем по голове,0,0.16452647745609283,0.1824355274438858,0.1732981950044632
с тех пор как он ушёл,0,0.1294127255678177,0.3415925204753876,0.1097157895565033
"история, окутанная тайной",0,0.06009664759039879,0.2689514458179474,0.30736804008483887
лесные разбойники,0,0.10375863313674927,0.23371636867523193,0.20690405368804932
мария,0,0.30736804008483887,0.16886694729328156,0.1520422399044037
король и шут,1,0.13297423720359802,0.4225146472454071,0.031153826043009758
два друга,1,0.05501529201865196,0.275139719247818,0.1732981950044632
сапоги,1,0.1520422399044037,0.18714269995689392,0.14805719256401062
охотник,1,0.1097157895565033,0.4378334879875183,0.13661839067935944
паника в селе,1,0.09535945951938629,0.5698626637458801,0.042097724974155426
истинный убийца,1,0.048867784440517426,0.29422497749328613,0.1259327530860901
лесник,1,0.1732981950044632,0.1778208613395691,0.20690405368804932
помоги мне!,1,0.30736804008483887,0.29422497749328613,0.07586817443370819
воспоминания о мёртовой женщине,1,0.1778208613395691,0.44553956389427185,0.10375863313674927
кукольный театр,1,0.4688006341457367,0.16452647745609283,0.14415885508060455
валет и дама,1,0.13661839067935944,0.23935934901237488,0.07808816432952881
весёлые тролли,1,0.14415885508060455,0.19194278120994568,0.13297423720359802
вячеслав,1,0.23935934901237488,0.2509227991104126,0.10375863313674927
отец и маски,1,0.15611489117145538,0.2509227991104126,0.16452647745609283
сказка про дракона,1,0.14034625887870789,0.18714269995689392,0.09535945951938629
инструмент,1,0.4378334879875183,0.16452647745609283,0.06372499465942383
собрание,1,0.10375863313674927,0.30736804008483887,0.287777841091156
кукла колдуна,2,0.07586817443370819,0.3557848632335663,0.1778208613395691
наблюдатель,2,0.38492217659950256,0.20690405368804932,0.07586817443370819
бедняжка,2,0.16886694729328156,0.320831298828125,0.13297423720359802
прыгну со скалы,2,0.18714269995689392,0.3923468291759491,0.12253321707248688
девушка и граф,2,0.2689514458179474,0.19194278120994568,0.14034625887870789
песня мушкетёров,2,0.16452647745609283,0.09535945951938629,0.1520422399044037
тяни,2,0.1778208613395691,0.523430347442627,0.09535945951938629
утренний рассвет,2,0.18714269995689392,0.1259327530860901,0.2689514458179474
сосиска,2,0.1097157895565033,0.5544804334640503,0.0980893224477768
карапуз,2,0.4688006341457367,0.14034625887870789,0.1067005917429924
спятил отец,2,0.11280541121959686,0.3923468291759491,0.09535945951938629
ведьма и осёл,2,0.1778208613395691,0.3629792034626007,0.08510905504226685
екатерина,2,0.0695517510175705,0.30736804008483887,0.3140605390071869
прерванная любовь,2,0.3276783227920532,0.348655104637146,0.14415885508060455
мотоцикл,2,0.1732981950044632,0.320831298828125,0.15611489117145538
голые коки,2,0.16886694729328156,0.30736804008483887,0.18714269995689392
забытые ботинки,2,0.0980893224477768,0.275139719247818,0.14415885508060455
если мясо мужики,3,0.06372499465942383,0.16886694729328156,0.3007555902004242
лесник,3,0.1732981950044632,0.1778208613395691,0.20690405368804932
валет и дама,3,0.13661839067935944,0.23935934901237488,0.07808816432952881
леший обиделся,3,0.0695517510175705,0.46102678775787354,0.07808816432952881
дурак и молния,3,0.1520422399044037,0.21734751760959625,0.22271016240119934
блуждают тени,3,0.14805719256401062,0.22271016240119934,0.38492217659950256
песня мушкетёров,3,0.16452647745609283,0.09535945951938629,0.1520422399044037
вячеслав,3,0.23935934901237488,0.2509227991104126,0.10375863313674927
мария,3,0.30736804008483887,0.16886694729328156,0.1520422399044037
мотоцикл,3,0.1732981950044632,0.320831298828125,0.15611489117145538
проказник скоморох,3,0.1520422399044037,0.23371636867523193,0.12253321707248688
два вора и монета,3,0.22816647589206696,0.21734751760959625,0.06372499465942383
шар голубой,3,0.3140605390071869,0.23935934901237488,0.09010298550128937
отец и маски,3,0.15611489117145538,0.2509227991104126,0.16452647745609283
охотник,3,0.1097157895565033,0.4378334879875183,0.13661839067935944
